date,state,fips,deaths,cases
2020-03-11,New Mexico,35,0,4
2020-03-12,New Mexico,35,0,6
2020-03-13,New Mexico,35,0,10
2020-03-14,New Mexico,35,0,13
2020-03-15,New Mexico,35,0,17
2020-03-16,New Mexico,35,0,21
2020-03-17,New Mexico,35,0,23
2020-03-18,New Mexico,35,0,28
2020-03-19,New Mexico,35,0,35
2020-03-20,New Mexico,35,0,43
2020-03-21,New Mexico,35,0,57
2020-03-22,New Mexico,35,0,65
2020-03-23,New Mexico,35,0,83
2020-03-24,New Mexico,35,0,100
2020-03-25,New Mexico,35,1,113
2020-03-26,New Mexico,35,1,136
2020-03-27,New Mexico,35,1,191
2020-03-28,New Mexico,35,2,210
2020-03-29,New Mexico,35,2,237
2020-03-30,New Mexico,35,4,282
2020-03-31,New Mexico,35,5,315
2020-04-01,New Mexico,35,6,363
2020-04-02,New Mexico,35,7,403
2020-04-03,New Mexico,35,10,495
2020-04-04,New Mexico,35,11,544
2020-04-05,New Mexico,35,12,624
2020-04-06,New Mexico,35,12,686
2020-04-07,New Mexico,35,13,794
2020-04-08,New Mexico,35,16,865
2020-04-09,New Mexico,35,17,989
2020-04-10,New Mexico,35,19,1090
2020-04-11,New Mexico,35,20,1174
2020-04-12,New Mexico,35,26,1245
2020-04-13,New Mexico,35,31,1345
2020-04-14,New Mexico,35,36,1407
2020-04-15,New Mexico,35,36,1484
2020-04-16,New Mexico,35,44,1597
2020-04-17,New Mexico,35,51,1711
2020-04-18,New Mexico,35,53,1798
2020-04-19,New Mexico,35,55,1845
2020-04-20,New Mexico,35,58,1971
2020-04-21,New Mexico,35,65,2072
2020-04-22,New Mexico,35,71,2210
2020-04-23,New Mexico,35,78,2379
2020-04-24,New Mexico,35,84,2524
2020-04-25,New Mexico,35,93,2662
2020-04-26,New Mexico,35,99,2728
2020-04-27,New Mexico,35,104,2825
2020-04-28,New Mexico,35,110,2975
2020-04-29,New Mexico,35,112,3213
2020-04-30,New Mexico,35,123,3411
2020-05-01,New Mexico,35,131,3513
2020-05-02,New Mexico,35,139,3732
2020-05-03,New Mexico,35,151,3850
2020-05-04,New Mexico,35,156,4030
2020-05-05,New Mexico,35,162,4137
2020-05-06,New Mexico,35,169,4290
2020-05-07,New Mexico,35,172,4492
2020-05-08,New Mexico,35,181,4673
2020-05-09,New Mexico,35,191,4778
2020-05-10,New Mexico,35,200,4863
2020-05-11,New Mexico,35,208,5069
2020-05-12,New Mexico,35,219,5212
2020-05-13,New Mexico,35,231,5364
2020-05-14,New Mexico,35,242,5503
2020-05-15,New Mexico,35,253,5662
2020-05-16,New Mexico,35,259,5847
2020-05-17,New Mexico,35,265,5938
2020-05-18,New Mexico,35,270,6096
2020-05-19,New Mexico,35,276,6192
2020-05-20,New Mexico,35,283,6338
2020-05-21,New Mexico,35,294,6472
2020-05-22,New Mexico,35,302,6625
2020-05-23,New Mexico,35,308,6795
2020-05-24,New Mexico,35,317,6943
2020-05-25,New Mexico,35,320,7026
2020-05-26,New Mexico,35,325,7130
2020-05-27,New Mexico,35,329,7252
2020-05-28,New Mexico,35,335,7364
2020-05-29,New Mexico,35,344,7493
2020-05-30,New Mexico,35,351,7624
2020-05-31,New Mexico,35,356,7689
2020-06-01,New Mexico,35,362,7800
2020-06-02,New Mexico,35,367,8024
2020-06-03,New Mexico,35,375,8140
2020-06-04,New Mexico,35,383,8353
2020-06-05,New Mexico,35,387,8672
2020-06-06,New Mexico,35,392,8800
2020-06-07,New Mexico,35,396,8940
2020-06-08,New Mexico,35,400,9062
2020-06-09,New Mexico,35,404,9105
2020-06-10,New Mexico,35,410,9250
2020-06-11,New Mexico,35,421,9368
2020-06-12,New Mexico,35,426,9526
2020-06-13,New Mexico,35,431,9621
2020-06-14,New Mexico,35,435,9723
2020-06-15,New Mexico,35,440,9845
2020-06-16,New Mexico,35,447,9933
2020-06-17,New Mexico,35,452,10065
2020-06-18,New Mexico,35,456,10153
2020-06-19,New Mexico,35,464,10260
2020-06-20,New Mexico,35,466,10430
2020-06-21,New Mexico,35,469,10565
2020-06-22,New Mexico,35,469,10694
2020-06-23,New Mexico,35,476,10838
2020-06-24,New Mexico,35,480,10990
2020-06-25,New Mexico,35,485,11192
2020-06-26,New Mexico,35,489,11408
2020-06-27,New Mexico,35,491,11619
2020-06-28,New Mexico,35,492,11809
2020-06-29,New Mexico,35,493,11982
2020-06-30,New Mexico,35,497,12147
2020-07-01,New Mexico,35,500,12276
2020-07-02,New Mexico,35,503,12520
2020-07-03,New Mexico,35,511,12776
2020-07-04,New Mexico,35,513,13063
2020-07-05,New Mexico,35,513,13256
2020-07-06,New Mexico,35,515,13507
2020-07-07,New Mexico,35,519,13727
2020-07-08,New Mexico,35,527,14017
2020-07-09,New Mexico,35,533,14251
2020-07-10,New Mexico,35,539,14549
2020-07-11,New Mexico,35,543,14773
2020-07-12,New Mexico,35,545,15028
2020-07-13,New Mexico,35,548,15291
2020-07-14,New Mexico,35,551,15514
2020-07-15,New Mexico,35,557,15841
2020-07-16,New Mexico,35,562,16138
2020-07-17,New Mexico,35,565,16456
2020-07-18,New Mexico,35,569,16736
2020-07-19,New Mexico,35,571,16971
2020-07-20,New Mexico,35,578,17215
2020-07-21,New Mexico,35,588,17517
2020-07-22,New Mexico,35,591,17828
2020-07-23,New Mexico,35,596,18163
2020-07-24,New Mexico,35,601,18475
2020-07-25,New Mexico,35,607,18788
2020-07-26,New Mexico,35,614,19053
2020-07-27,New Mexico,35,619,19502
2020-07-28,New Mexico,35,626,19791
2020-07-29,New Mexico,35,632,20136
2020-07-30,New Mexico,35,635,20388
2020-07-31,New Mexico,35,642,20600
2020-08-01,New Mexico,35,651,20796
2020-08-02,New Mexico,35,654,21016
2020-08-03,New Mexico,35,655,21130
2020-08-04,New Mexico,35,658,21340
2020-08-05,New Mexico,35,667,21566
2020-08-06,New Mexico,35,669,21773
2020-08-07,New Mexico,35,675,21965
2020-08-08,New Mexico,35,681,22115
2020-08-09,New Mexico,35,685,22315
2020-08-10,New Mexico,35,690,22444
2020-08-11,New Mexico,35,693,22643
2020-08-12,New Mexico,35,695,22816
2020-08-13,New Mexico,35,697,22987
2020-08-14,New Mexico,35,703,23160
2020-08-15,New Mexico,35,711,23302
2020-08-16,New Mexico,35,714,23408
2020-08-17,New Mexico,35,718,23500
2020-08-18,New Mexico,35,723,23579
2020-08-19,New Mexico,35,729,23749
2020-08-20,New Mexico,35,734,23951
2020-08-21,New Mexico,35,739,24095
2020-08-22,New Mexico,35,743,24302
2020-08-23,New Mexico,35,745,24396
2020-08-24,New Mexico,35,747,24469
2020-08-25,New Mexico,35,750,24535
2020-08-26,New Mexico,35,755,24732
2020-08-27,New Mexico,35,764,24920
2020-08-28,New Mexico,35,767,25042
2020-08-29,New Mexico,35,769,25178
2020-08-30,New Mexico,35,770,25283
2020-08-31,New Mexico,35,779,25352
2020-09-01,New Mexico,35,787,25460
2020-09-02,New Mexico,35,790,25612
2020-09-03,New Mexico,35,791,25812
2020-09-04,New Mexico,35,794,25902
2020-09-05,New Mexico,35,800,26048
2020-09-06,New Mexico,35,803,26107
2020-09-07,New Mexico,35,807,26144
2020-09-08,New Mexico,35,807,26181
2020-09-09,New Mexico,35,813,26268
2020-09-10,New Mexico,35,816,26429
2020-09-11,New Mexico,35,818,26563
2020-09-12,New Mexico,35,821,26661
2020-09-13,New Mexico,35,823,26761
2020-09-14,New Mexico,35,823,26842
2020-09-15,New Mexico,35,830,26923
2020-09-16,New Mexico,35,832,27041
2020-09-17,New Mexico,35,836,27199
2020-09-18,New Mexico,35,841,27350
2020-09-19,New Mexico,35,847,27512
2020-09-20,New Mexico,35,849,27579
2020-09-21,New Mexico,35,851,27683
2020-09-22,New Mexico,35,854,27790
2020-09-23,New Mexico,35,857,27987
2020-09-24,New Mexico,35,859,28224
2020-09-25,New Mexico,35,865,28487
2020-09-26,New Mexico,35,870,28692
2020-09-27,New Mexico,35,870,28844
2020-09-28,New Mexico,35,873,28985
2020-09-29,New Mexico,35,875,29157
2020-09-30,New Mexico,35,877,29435
2020-10-01,New Mexico,35,882,29661
2020-10-02,New Mexico,35,887,30000
2020-10-03,New Mexico,35,890,30296
2020-10-04,New Mexico,35,892,30477
2020-10-05,New Mexico,35,894,30632
2020-10-06,New Mexico,35,894,30947
2020-10-07,New Mexico,35,896,31372
2020-10-08,New Mexico,35,899,31756
2020-10-09,New Mexico,35,902,32241
2020-10-10,New Mexico,35,907,32722
2020-10-11,New Mexico,35,911,32983
2020-10-12,New Mexico,35,915,33362
2020-10-13,New Mexico,35,918,33713
2020-10-14,New Mexico,35,921,34290
2020-10-15,New Mexico,35,922,34958
2020-10-16,New Mexico,35,928,35770
2020-10-17,New Mexico,35,929,36343
