date,state,fips,deaths,cases
2020-01-25,California,6,0,1
2020-01-26,California,6,0,2
2020-01-27,California,6,0,2
2020-01-28,California,6,0,2
2020-01-29,California,6,0,2
2020-01-30,California,6,0,2
2020-01-31,California,6,0,3
2020-02-01,California,6,0,3
2020-02-02,California,6,0,6
2020-02-03,California,6,0,6
2020-02-04,California,6,0,6
2020-02-05,California,6,0,6
2020-02-06,California,6,0,6
2020-02-07,California,6,0,6
2020-02-08,California,6,0,6
2020-02-09,California,6,0,6
2020-02-10,California,6,0,7
2020-02-11,California,6,0,7
2020-02-12,California,6,0,7
2020-02-13,California,6,0,7
2020-02-14,California,6,0,7
2020-02-15,California,6,0,7
2020-02-16,California,6,0,7
2020-02-17,California,6,0,7
2020-02-18,California,6,0,7
2020-02-19,California,6,0,7
2020-02-20,California,6,0,8
2020-02-21,California,6,0,9
2020-02-22,California,6,0,9
2020-02-23,California,6,0,9
2020-02-24,California,6,0,11
2020-02-25,California,6,0,11
2020-02-26,California,6,0,26
2020-02-27,California,6,0,26
2020-02-28,California,6,0,27
2020-02-29,California,6,0,28
2020-03-01,California,6,0,33
2020-03-02,California,6,0,38
2020-03-03,California,6,0,45
2020-03-04,California,6,1,55
2020-03-05,California,6,1,67
2020-03-06,California,6,1,81
2020-03-07,California,6,1,100
2020-03-08,California,6,1,112
2020-03-09,California,6,2,172
2020-03-10,California,6,3,179
2020-03-11,California,6,4,202
2020-03-12,California,6,4,252
2020-03-13,California,6,5,320
2020-03-14,California,6,5,381
2020-03-15,California,6,6,478
2020-03-16,California,6,11,588
2020-03-17,California,6,14,732
2020-03-18,California,6,17,893
2020-03-19,California,6,19,1067
2020-03-20,California,6,24,1283
2020-03-21,California,6,28,1544
2020-03-22,California,6,35,1851
2020-03-23,California,6,39,2240
2020-03-24,California,6,52,2644
2020-03-25,California,6,68,3183
2020-03-26,California,6,83,4060
2020-03-27,California,6,104,4915
2020-03-28,California,6,122,5566
2020-03-29,California,6,132,6321
2020-03-30,California,6,147,7421
2020-03-31,California,6,184,8583
2020-04-01,California,6,212,9857
2020-04-02,California,6,247,11190
2020-04-03,California,6,282,12569
2020-04-04,California,6,323,13796
2020-04-05,California,6,351,15202
2020-04-06,California,6,386,16361
2020-04-07,California,6,447,17540
2020-04-08,California,6,506,19043
2020-04-09,California,6,548,20191
2020-04-10,California,6,594,21366
2020-04-11,California,6,632,22421
2020-04-12,California,6,676,23323
2020-04-13,California,6,725,24334
2020-04-14,California,6,778,25758
2020-04-15,California,6,885,27107
2020-04-16,California,6,971,28142
2020-04-17,California,6,1050,29398
2020-04-18,California,6,1146,30829
2020-04-19,California,6,1176,31544
2020-04-20,California,6,1223,33862
2020-04-21,California,6,1316,35844
2020-04-22,California,6,1425,37573
2020-04-23,California,6,1548,39534
2020-04-24,California,6,1619,41368
2020-04-25,California,6,1692,42590
2020-04-26,California,6,1716,43691
2020-04-27,California,6,1800,45208
2020-04-28,California,6,1884,46570
2020-04-29,California,6,1961,48904
2020-04-30,California,6,2057,50470
2020-05-01,California,6,2147,52318
2020-05-02,California,6,2213,53753
2020-05-03,California,6,2235,55072
2020-05-04,California,6,2297,56333
2020-05-05,California,6,2386,58848
2020-05-06,California,6,2478,60787
2020-05-07,California,6,2561,62481
2020-05-08,California,6,2650,64616
2020-05-09,California,6,2732,66824
2020-05-10,California,6,2769,68051
2020-05-11,California,6,2820,69514
2020-05-12,California,6,2902,71150
2020-05-13,California,6,3014,73218
2020-05-14,California,6,3039,74947
2020-05-15,California,6,3192,77015
2020-05-16,California,6,3254,78933
2020-05-17,California,6,3290,80366
2020-05-18,California,6,3322,81943
2020-05-19,California,6,3422,83981
2020-05-20,California,6,3514,86125
2020-05-21,California,6,3624,88488
2020-05-22,California,6,3690,90801
2020-05-23,California,6,3768,92815
2020-05-24,California,6,3790,94743
2020-05-25,California,6,3808,97017
2020-05-26,California,6,3859,99924
2020-05-27,California,6,3961,101873
2020-05-28,California,6,4042,104071
2020-05-29,California,6,4144,107043
2020-05-30,California,6,4214,110100
2020-05-31,California,6,4242,113114
2020-06-01,California,6,4287,115643
2020-06-02,California,6,4360,118081
2020-06-03,California,6,4422,120407
2020-06-04,California,6,4484,122917
2020-06-05,California,6,4550,126510
2020-06-06,California,6,4626,129147
2020-06-07,California,6,4653,131997
2020-06-08,California,6,4679,134287
2020-06-09,California,6,4775,137245
2020-06-10,California,6,4869,140139
2020-06-11,California,6,4941,143709
2020-06-12,California,6,4986,147285
2020-06-13,California,6,5059,150434
2020-06-14,California,6,5089,152953
2020-06-15,California,6,5120,155662
2020-06-16,California,6,5202,159131
2020-06-17,California,6,5283,163381
2020-06-18,California,6,5359,167135
2020-06-19,California,6,5425,170843
2020-06-20,California,6,5495,174854
2020-06-21,California,6,5517,178807
2020-06-22,California,6,5561,184620
2020-06-23,California,6,5637,191039
2020-06-24,California,6,5728,195889
2020-06-25,California,6,5810,201413
2020-06-26,California,6,5872,207027
2020-06-27,California,6,5902,211453
2020-06-28,California,6,5937,216955
2020-06-29,California,6,5979,223995
2020-06-30,California,6,6083,232153
2020-07-01,California,6,6168,239764
2020-07-02,California,6,6263,248198
2020-07-03,California,6,6315,256298
2020-07-04,California,6,6329,265176
2020-07-05,California,6,6369,271587
2020-07-06,California,6,6452,277869
2020-07-07,California,6,6563,287766
2020-07-08,California,6,6708,296304
2020-07-09,California,6,6825,303516
2020-07-10,California,6,6936,311505
2020-07-11,California,6,7012,320030
2020-07-12,California,6,7042,327676
2020-07-13,California,6,7086,336206
2020-07-14,California,6,7227,346593
2020-07-15,California,6,7368,355497
2020-07-16,California,6,7490,364761
2020-07-17,California,6,7607,374922
2020-07-18,California,6,7697,383194
2020-07-19,California,6,7710,391460
2020-07-20,California,6,7764,400195
2020-07-21,California,6,7883,410366
2020-07-22,California,6,8038,422528
2020-07-23,California,6,8190,433175
2020-07-24,California,6,8325,443096
2020-07-25,California,6,8428,453327
2020-07-26,California,6,8451,459338
2020-07-27,California,6,8544,467103
2020-07-28,California,6,8716,474951
2020-07-29,California,6,8884,486039
2020-07-30,California,6,9009,494269
2020-07-31,California,6,9222,502273
2020-08-01,California,6,9365,509507
2020-08-02,California,6,9399,515937
2020-08-03,California,6,9500,522235
2020-08-04,California,6,9696,527258
2020-08-05,California,6,9866,532776
2020-08-06,California,6,10014,541013
2020-08-07,California,6,10197,548142
2020-08-08,California,6,10299,556158
2020-08-09,California,6,10365,563244
2020-08-10,California,6,10460,574267
2020-08-11,California,6,10654,586078
2020-08-12,California,6,10808,595097
2020-08-13,California,6,10995,603212
2020-08-14,California,6,11146,613243
2020-08-15,California,6,11229,621981
2020-08-16,California,6,11245,628508
2020-08-17,California,6,11334,634991
2020-08-18,California,6,11523,640499
2020-08-19,California,6,11686,646742
2020-08-20,California,6,11801,653401
2020-08-21,California,6,11984,659991
2020-08-22,California,6,12137,665325
2020-08-23,California,6,12152,669944
2020-08-24,California,6,12250,676236
2020-08-25,California,6,12409,682320
2020-08-26,California,6,12547,687612
2020-08-27,California,6,12696,692962
2020-08-28,California,6,12836,698389
2020-08-29,California,6,12906,702499
2020-08-30,California,6,12939,706589
2020-08-31,California,6,13020,712541
2020-09-01,California,6,13149,716628
2020-09-02,California,6,13330,722035
2020-09-03,California,6,13497,727398
2020-09-04,California,6,13644,732691
2020-09-05,California,6,13708,737073
2020-09-06,California,6,13730,740233
2020-09-07,California,6,13763,742689
2020-09-08,California,6,13843,746113
2020-09-09,California,6,13990,749196
2020-09-10,California,6,14094,753017
2020-09-11,California,6,14265,757125
2020-09-12,California,6,14333,760581
2020-09-13,California,6,14386,763389
2020-09-14,California,6,14458,767062
2020-09-15,California,6,14606,769917
2020-09-16,California,6,14716,773318
2020-09-17,California,6,14807,776944
2020-09-18,California,6,14912,781436
2020-09-19,California,6,15023,785076
2020-09-20,California,6,15018,788077
2020-09-21,California,6,15069,792217
2020-09-22,California,6,15209,795077
2020-09-23,California,6,15313,798350
2020-09-24,California,6,15389,801671
