date,state,fips,deaths,cases
2020-01-26,Arizona,4,0,1
2020-01-27,Arizona,4,0,1
2020-01-28,Arizona,4,0,1
2020-01-29,Arizona,4,0,1
2020-01-30,Arizona,4,0,1
2020-01-31,Arizona,4,0,1
2020-02-01,Arizona,4,0,1
2020-02-02,Arizona,4,0,1
2020-02-03,Arizona,4,0,1
2020-02-04,Arizona,4,0,1
2020-02-05,Arizona,4,0,1
2020-02-06,Arizona,4,0,1
2020-02-07,Arizona,4,0,1
2020-02-08,Arizona,4,0,1
2020-02-09,Arizona,4,0,1
2020-02-10,Arizona,4,0,1
2020-02-11,Arizona,4,0,1
2020-02-12,Arizona,4,0,1
2020-02-13,Arizona,4,0,1
2020-02-14,Arizona,4,0,1
2020-02-15,Arizona,4,0,1
2020-02-16,Arizona,4,0,1
2020-02-17,Arizona,4,0,1
2020-02-18,Arizona,4,0,1
2020-02-19,Arizona,4,0,1
2020-02-20,Arizona,4,0,1
2020-02-21,Arizona,4,0,1
2020-02-22,Arizona,4,0,1
2020-02-23,Arizona,4,0,1
2020-02-24,Arizona,4,0,1
2020-02-25,Arizona,4,0,1
2020-02-26,Arizona,4,0,1
2020-02-27,Arizona,4,0,1
2020-02-28,Arizona,4,0,1
2020-02-29,Arizona,4,0,1
2020-03-01,Arizona,4,0,1
2020-03-02,Arizona,4,0,1
2020-03-03,Arizona,4,0,2
2020-03-04,Arizona,4,0,2
2020-03-05,Arizona,4,0,2
2020-03-06,Arizona,4,0,3
2020-03-07,Arizona,4,0,5
2020-03-08,Arizona,4,0,5
2020-03-09,Arizona,4,0,6
2020-03-10,Arizona,4,0,6
2020-03-11,Arizona,4,0,9
2020-03-12,Arizona,4,0,9
2020-03-13,Arizona,4,0,9
2020-03-14,Arizona,4,0,12
2020-03-15,Arizona,4,0,13
2020-03-16,Arizona,4,0,18
2020-03-17,Arizona,4,0,20
2020-03-18,Arizona,4,0,28
2020-03-19,Arizona,4,0,47
2020-03-20,Arizona,4,1,70
2020-03-21,Arizona,4,1,104
2020-03-22,Arizona,4,2,153
2020-03-23,Arizona,4,2,234
2020-03-24,Arizona,4,6,326
2020-03-25,Arizona,4,6,402
2020-03-26,Arizona,4,8,508
2020-03-27,Arizona,4,15,665
2020-03-28,Arizona,4,15,773
2020-03-29,Arizona,4,18,930
2020-03-30,Arizona,4,20,1169
2020-03-31,Arizona,4,24,1298
2020-04-01,Arizona,4,29,1413
2020-04-02,Arizona,4,35,1600
2020-04-03,Arizona,4,41,1769
2020-04-04,Arizona,4,53,2019
2020-04-05,Arizona,4,64,2269
2020-04-06,Arizona,4,67,2466
2020-04-07,Arizona,4,77,2577
2020-04-08,Arizona,4,80,2726
2020-04-09,Arizona,4,89,3018
2020-04-10,Arizona,4,97,3112
2020-04-11,Arizona,4,112,3393
2020-04-12,Arizona,4,117,3539
2020-04-13,Arizona,4,122,3702
2020-04-14,Arizona,4,131,3806
2020-04-15,Arizona,4,142,3962
2020-04-16,Arizona,4,152,4234
2020-04-17,Arizona,4,174,4507
2020-04-18,Arizona,4,181,4719
2020-04-19,Arizona,4,188,4929
2020-04-20,Arizona,4,191,5064
2020-04-21,Arizona,4,213,5251
2020-04-22,Arizona,4,236,5459
2020-04-23,Arizona,4,257,5769
2020-04-24,Arizona,4,268,6045
2020-04-25,Arizona,4,275,6280
2020-04-26,Arizona,4,277,6526
2020-04-27,Arizona,4,277,6716
2020-04-28,Arizona,4,297,6948
2020-04-29,Arizona,4,308,7202
2020-04-30,Arizona,4,320,7648
2020-05-01,Arizona,4,330,7962
2020-05-02,Arizona,4,353,8364
2020-05-03,Arizona,4,362,8640
2020-05-04,Arizona,4,362,8919
2020-05-05,Arizona,4,395,9305
2020-05-06,Arizona,4,426,9707
2020-05-07,Arizona,4,450,9945
2020-05-08,Arizona,4,517,10526
2020-05-09,Arizona,4,532,10960
2020-05-10,Arizona,4,536,11119
2020-05-11,Arizona,4,542,11380
2020-05-12,Arizona,4,562,11736
2020-05-13,Arizona,4,594,12176
2020-05-14,Arizona,4,624,12674
2020-05-15,Arizona,4,651,13169
2020-05-16,Arizona,4,679,13631
2020-05-17,Arizona,4,680,13937
2020-05-18,Arizona,4,686,14170
2020-05-19,Arizona,4,704,14566
2020-05-20,Arizona,4,747,14897
2020-05-21,Arizona,4,763,15315
2020-05-22,Arizona,4,775,15608
2020-05-23,Arizona,4,799,16040
2020-05-24,Arizona,4,800,16339
2020-05-25,Arizona,4,806,16561
2020-05-26,Arizona,4,807,16783
2020-05-27,Arizona,4,831,17262
2020-05-28,Arizona,4,857,17763
2020-05-29,Arizona,4,885,18465
2020-05-30,Arizona,4,903,19255
2020-05-31,Arizona,4,906,19936
2020-06-01,Arizona,4,918,20123
2020-06-02,Arizona,4,943,21250
2020-06-03,Arizona,4,983,22245
2020-06-04,Arizona,4,1000,22818
2020-06-05,Arizona,4,1016,24369
2020-06-06,Arizona,4,1046,25517
2020-06-07,Arizona,4,1048,26924
2020-06-08,Arizona,4,1052,27761
2020-06-09,Arizona,4,1074,28396
2020-06-10,Arizona,4,1100,29981
2020-06-11,Arizona,4,1130,31525
2020-06-12,Arizona,4,1157,33167
2020-06-13,Arizona,4,1190,34773
2020-06-14,Arizona,4,1194,35953
2020-06-15,Arizona,4,1204,37005
2020-06-16,Arizona,4,1228,39298
2020-06-17,Arizona,4,1252,41159
2020-06-18,Arizona,4,1287,43731
2020-06-19,Arizona,4,1322,46914
2020-06-20,Arizona,4,1347,50198
2020-06-21,Arizona,4,1350,52666
2020-06-22,Arizona,4,1354,54767
2020-06-23,Arizona,4,1398,58397
2020-06-24,Arizona,4,1467,60207
2020-06-25,Arizona,4,1495,63297
2020-06-26,Arizona,4,1537,66676
2020-06-27,Arizona,4,1581,70152
2020-06-28,Arizona,4,1594,73961
2020-06-29,Arizona,4,1598,74602
2020-06-30,Arizona,4,1645,79399
2020-07-01,Arizona,4,1726,84152
2020-07-02,Arizona,4,1766,87495
2020-07-03,Arizona,4,1802,91894
2020-07-04,Arizona,4,1821,94616
2020-07-05,Arizona,4,1829,98126
2020-07-06,Arizona,4,1832,101542
2020-07-07,Arizona,4,1933,105159
2020-07-08,Arizona,4,1973,108710
2020-07-09,Arizona,4,2047,112783
