"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000672554,0.00328277,0.00165788,5.13382e-05,0
238,0.000649783,0.00329728,0.00166776,5.03136e-05,0
239,0.000627782,0.00331032,0.00167741,4.92816e-05,0
240,0.000606526,0.00332191,0.00168683,4.82465e-05,0
241,0.00058599,0.0033321,0.00169604,4.7212e-05,0
242,0.000566151,0.00334091,0.00170503,4.61813e-05,0
243,0.000546987,0.00334838,0.0017138,4.51572e-05,0
244,0.000528475,0.00335454,0.00172235,4.41421e-05,0
245,0.000510595,0.00335944,0.00173068,4.3138e-05,0
246,0.000493313,0.00336311,0.00173881,4.21466e-05,0
247,0.000476617,0.00336559,0.00174673,4.11693e-05,0
248,0.000460492,0.00336691,0.00175445,4.02074e-05,0
249,0.000444918,0.00336712,0.00176197,3.92617e-05,0
250,0.000429876,0.00336625,0.0017693,3.83332e-05,0
251,0.00041535,0.00336434,0.00177643,3.74225e-05,0
252,0.000401325,0.00336144,0.00178338,3.65302e-05,0
253,0.000387785,0.00335756,0.00179015,3.56565e-05,0
254,0.000374715,0.00335277,0.00179674,3.48018e-05,0
255,0.000362104,0.00334708,0.00180316,3.39662e-05,0
256,0.000349938,0.00334054,0.00180941,3.315e-05,0
257,0.000338207,0.00333317,0.0018155,3.23532e-05,0
258,0.000326899,0.00332503,0.00182143,3.15758e-05,0
259,0.000315957,0.00331613,0.00182721,3.08177e-05,0
260,0.000305365,0.00330651,0.00183284,3.00786e-05,0
261,0.000295134,0.0032962,0.00183832,2.93583e-05,0
262,0.000285254,0.00328524,0.00184366,2.86563e-05,0
263,0.000275713,0.00327365,0.00184886,2.79726e-05,0
264,0.0002665,0.00326147,0.00185393,2.73067e-05,0
265,0.000257605,0.00324871,0.00185887,2.66584e-05,0
266,0.000249016,0.00323541,0.00186369,2.60273e-05,0
267,0.000240725,0.0032216,0.00186838,2.54132e-05,0
268,0.000232722,0.0032073,0.00187295,2.48157e-05,0
269,0.000224999,0.00319253,0.00187742,2.42344e-05,0
270,0.000217548,0.00317732,0.00188176,2.3669e-05,0
271,0.000210361,0.0031617,0.00188601,2.31192e-05,0
272,0.000203429,0.00314568,0.00189014,2.25846e-05,0
